_id,_createdDate,_updatedDate,_owner,first_name,last_name,twin_name,membership_id,city,region,country,registry_date,source_file
hidden,2025-12-04T18:33:17.674191,2025-12-04T18:33:17.674205,system,Wyatt,Smith,hidden,hidden,Sydney,,Australia,,name_on_public_charter_masked_sorted (3).html
0000000001,2025-12-04T18:33:17.674291,2025-12-04T18:33:17.674306,system,Alex,Anderson,Quantum Node,0000000001,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000002,2025-12-04T18:33:17.674342,2025-12-04T18:33:17.674349,system,Alex,Bennett,Echo Weaver,0000000002,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000003,2025-12-04T18:33:17.674379,2025-12-04T18:33:17.674385,system,Alex,Chen,Nova Stream,0000000003,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000004,2025-12-04T18:33:17.674414,2025-12-04T18:33:17.674420,system,Alex,Dubois,Nimbus Matrix,0000000004,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000005,2025-12-04T18:33:17.674448,2025-12-04T18:33:17.674454,system,Alex,Esposito,Lumen Horizon,0000000005,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000006,2025-12-04T18:33:17.674483,2025-12-04T18:33:17.674489,system,Alex,Fernandez,Atlas Beacon,0000000006,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000007,2025-12-04T18:33:17.674576,2025-12-04T18:33:17.674589,system,Alex,Garcia,Solace Circuit,0000000007,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000008,2025-12-04T18:33:17.674630,2025-12-04T18:33:17.674637,system,Alex,Haddad,Orion Harbor,0000000008,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000009,2025-12-04T18:33:17.674668,2025-12-04T18:33:17.674674,system,Alex,Ivanov,Cascade Forge,0000000009,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000010,2025-12-04T18:33:17.674692,2025-12-04T18:33:17.674696,system,Alex,Johansson,Vertex Glyph,0000000010,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000011,2025-12-04T18:33:17.674712,2025-12-04T18:33:17.674716,system,Bianca,Anderson,Prism Bridge,0000000011,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000012,2025-12-04T18:33:17.674732,2025-12-04T18:33:17.674735,system,Bianca,Bennett,Zenith Canvas,0000000012,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000013,2025-12-04T18:33:17.674751,2025-12-04T18:33:17.674754,system,Bianca,Chen,Ember Spark,0000000013,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000014,2025-12-04T18:33:17.674769,2025-12-04T18:33:17.674773,system,Bianca,Dubois,Halo Portal,0000000014,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000015,2025-12-04T18:33:17.674788,2025-12-04T18:33:17.674792,system,Bianca,Esposito,Celeste Vault,0000000015,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000016,2025-12-04T18:33:17.674808,2025-12-04T18:33:17.674811,system,Bianca,Fernandez,Mosaic Field,0000000016,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000017,2025-12-04T18:33:17.674829,2025-12-04T18:33:17.674833,system,Bianca,Garcia,Pulse Verse,0000000017,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000018,2025-12-04T18:33:17.674848,2025-12-04T18:33:17.674852,system,Bianca,Haddad,Vector Garden,0000000018,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000019,2025-12-04T18:33:17.674867,2025-12-04T18:33:17.674871,system,Bianca,Ivanov,Mirage Lab,0000000019,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000020,2025-12-04T18:33:17.674886,2025-12-04T18:33:17.674889,system,Bianca,Johansson,Aurora Muse,0000000020,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000021,2025-12-04T18:33:17.674904,2025-12-04T18:33:17.674908,system,Carlos,Anderson,Quantum Node,0000000021,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000022,2025-12-04T18:33:17.674925,2025-12-04T18:33:17.674930,system,Carlos,Bennett,Echo Weaver,0000000022,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000023,2025-12-04T18:33:17.674945,2025-12-04T18:33:17.674949,system,Carlos,Chen,Nova Stream,0000000023,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000024,2025-12-04T18:33:17.674964,2025-12-04T18:33:17.674968,system,Carlos,Dubois,Nimbus Matrix,0000000024,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000025,2025-12-04T18:33:17.674983,2025-12-04T18:33:17.674987,system,Carlos,Esposito,Lumen Horizon,0000000025,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000026,2025-12-04T18:33:17.675002,2025-12-04T18:33:17.675005,system,Carlos,Fernandez,Atlas Beacon,0000000026,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000027,2025-12-04T18:33:17.675021,2025-12-04T18:33:17.675024,system,Carlos,Garcia,Solace Circuit,0000000027,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
